client_id,birth_number,district_id,age,gender
113,405815,1,60,female
114,695624,74,31,female
115,691224,74,31,male
116,420128,74,58,male
117,365920,74,64,female
118,220719,55,78,male
119,225228,55,78,female
120,760510,1,24,male
121,786029,41,22,female
122,636113,35,37,female
123,690212,11,31,male
124,670921,44,33,male
125,361031,37,64,male
126,295927,37,71,female
127,506227,21,50,female
128,735404,63,27,female
129,475531,64,53,female
130,420214,53,58,male
131,775131,53,23,female
132,530126,36,47,male
134,320118,6,68,male
135,385910,6,62,female
136,215126,55,79,female
137,230914,60,77,male
138,726021,54,28,female
139,595725,8,41,female
140,610606,8,39,male
141,251102,31,75,male
142,370621,68,63,male
143,780709,27,22,male
144,581206,65,42,male
145,780214,55,22,male
146,616219,31,39,female
147,336102,21,67,female
148,401225,21,60,male
149,480627,55,52,male
150,805927,2,20,female
151,715923,51,29,female
152,456202,29,55,female
153,815212,13,19,female
154,330827,74,67,male
155,395313,74,61,female
156,305722,54,70,female
157,435709,52,57,female
158,455703,40,55,female
159,380910,40,62,male
160,425426,64,58,female
161,436007,34,57,female
162,411017,65,59,male
163,330612,74,67,male
164,625404,70,38,female
165,681108,22,32,male
166,616022,22,39,female
167,785418,38,22,female
168,766105,24,24,female
169,530912,38,47,male
170,465616,38,54,female
171,290625,51,71,male
172,356005,51,65,female
173,186208,21,82,female
174,781110,10,22,male
175,600713,31,40,male
176,290311,4,71,male
178,601222,8,40,male
179,801229,43,20,male
180,820119,73,18,male
181,670706,76,33,male
182,595713,76,41,female
183,785319,1,22,female
184,720605,1,28,male
185,540530,77,46,male
186,615222,46,39,female
187,420823,58,58,male
188,600902,64,40,male
189,190810,11,81,male
190,476031,37,53,female
191,540903,37,46,male
192,710228,70,29,male
193,620501,1,38,male
194,246220,28,76,female
195,191118,74,81,male
196,275625,74,73,female
197,330425,30,67,male
198,760714,60,24,male
199,230621,29,77,male
200,285113,29,72,female
201,305819,17,70,female
202,766121,29,24,female
203,620610,31,38,male
204,675617,31,33,female
205,425615,4,58,female
206,635413,59,37,female
207,320520,46,68,male
208,405625,13,60,female
209,350820,13,65,male
210,391130,66,61,male
211,455628,66,55,female
212,750210,52,25,male
215,670924,71,33,male
216,600130,1,40,male
217,746222,59,26,female
218,805123,1,20,female
219,645402,60,36,female
221,775225,21,23,female
222,725629,47,28,female
223,525227,43,48,female
224,550511,77,45,male
225,360510,32,64,male
226,420616,1,58,male
227,266218,52,74,female
228,565316,48,44,female
229,690722,76,31,male
230,675310,74,33,female
231,410218,41,59,male
232,215617,55,79,female
233,586203,69,42,female
234,550621,69,45,male
235,435828,44,57,female
236,610901,70,39,male
237,695222,70,31,female
238,616128,6,39,female
239,745910,1,26,female
240,295617,34,71,female
241,590123,70,41,male
242,615801,17,39,female
243,540210,63,46,male
246,706228,67,30,female
247,570508,1,43,male
248,696212,61,31,female
249,700505,61,30,male
250,796125,8,21,female
251,765303,54,24,female
252,695901,37,31,female
253,475512,48,53,female
254,630530,28,37,male
255,516011,27,49,female
256,635227,73,37,female
257,426104,22,58,female
258,370531,22,63,male
259,660608,31,34,male
260,625224,31,38,female
261,376207,38,63,female
262,451125,77,55,male
263,620520,68,38,male
264,780822,28,22,male
265,335107,72,67,female
266,675828,19,33,female
267,670612,37,33,male
268,825502,39,18,female
269,236203,15,77,female
270,470308,46,53,male
271,455727,46,55,female
272,446025,70,56,female
273,725515,27,28,female
274,706125,17,30,female
275,186112,1,82,female
276,570611,1,43,male
277,616128,1,39,female
278,726227,22,28,female
279,700516,22,30,male
280,696218,45,31,female
282,385224,73,62,female
283,331104,73,67,male
284,740806,10,26,male
285,540603,72,46,male
286,525418,72,48,female
287,800909,50,20,male
288,620421,6,38,male
289,580327,54,42,male
290,590112,72,41,male
291,555427,72,45,female
292,585906,15,42,female
293,430927,69,57,male
294,680321,58,32,male
295,390327,12,61,male
296,740301,65,26,male
297,245315,65,76,female
298,210613,65,79,male
300,575730,1,43,female
301,420110,28,58,male
302,710223,56,29,male
303,460506,74,54,male
304,345311,19,66,female
305,380608,46,62,male
308,765612,68,24,female
309,696214,37,31,female
310,500416,11,50,male
311,305916,64,70,female
312,240703,2,76,male
313,425511,24,58,female
314,450322,24,55,male
315,670501,54,33,male
316,550428,75,45,male
317,576006,64,43,female
318,435402,15,57,female
319,295404,19,71,female
320,341112,19,66,male
321,436024,47,57,female
322,330201,38,67,male
323,385404,38,62,female
324,601203,3,40,male
325,600221,3,40,male
326,675918,27,33,female
327,681013,27,32,male
328,185124,1,82,female
329,641203,11,36,male
330,445805,65,56,female
331,420302,1,58,male
332,780725,29,22,male
333,711019,38,29,male
334,691031,32,31,male
335,675722,73,33,female
336,645211,39,36,female
337,570508,39,43,male
338,515619,8,49,female
339,660730,1,34,male
340,705819,1,30,female
341,770316,69,23,male
342,725630,69,28,female
343,191119,44,81,male
344,635716,54,37,female
345,531207,17,47,male
346,606102,17,40,female
347,591213,71,41,male
348,535124,71,47,female
349,275527,39,73,female
350,255402,25,75,female
351,730501,1,27,male
352,400827,56,60,male
353,651026,7,35,male
354,225427,49,78,female
355,300531,49,70,male
356,796207,1,21,female
357,790330,1,21,male
358,595626,7,41,female
359,700216,66,30,male
360,430427,49,57,male
361,775525,74,23,female
362,505427,35,50,female
363,420701,35,58,male
364,426205,54,58,female
365,300109,1,70,male
366,366110,1,64,female
367,635903,60,37,female
368,681014,60,32,male
369,306106,7,70,female
370,565105,71,44,female
371,420716,4,58,male
372,320403,34,68,male
373,360228,16,64,male
374,670614,26,33,male
375,695929,61,31,female
376,735108,14,27,female
378,780515,50,22,male
379,836013,50,17,female
380,730119,41,27,male
381,775126,73,23,female
382,780630,73,22,male
383,395517,15,61,female
384,351008,15,65,male
385,480324,45,52,male
386,800821,62,20,male
387,270606,76,73,male
388,506030,36,50,female
389,745630,47,26,female
390,775127,47,23,female
391,335522,47,67,female
392,505401,74,50,female
393,560831,74,44,male
394,245518,52,76,female
395,190705,52,81,male
396,200502,1,80,male
397,300327,75,70,male
398,255326,61,75,female
399,520414,45,48,male
400,331227,1,67,male
401,286119,1,72,female
402,431225,3,57,male
403,735526,42,27,female
404,670420,42,33,male
405,346019,65,66,female
406,770515,36,23,male
407,755527,73,25,female
408,785222,35,22,female
409,250618,74,75,male
410,621220,62,38,male
411,415414,17,59,female
412,440417,17,56,male
413,726118,49,28,female
414,476019,46,53,female
415,450401,46,55,male
416,326007,1,68,female
417,300610,1,70,male
418,661013,28,34,male
419,706007,64,30,female
420,780313,18,22,male
421,650731,54,35,male
422,461207,69,54,male
423,570623,37,43,male
424,471008,1,53,male
425,480212,25,52,male
426,370601,72,63,male
427,415914,72,59,female
428,196116,47,81,female
429,815120,50,19,female
430,200728,39,80,male
431,276001,24,73,female
432,525326,59,48,female
433,550207,62,45,male
434,435130,70,57,female
435,671023,20,33,male
436,550615,2,45,male
437,205117,11,80,female
438,380928,32,62,male
439,685912,51,32,female
440,705707,15,30,female
441,590914,1,41,male
442,716216,1,29,female
443,711220,1,29,male
444,605801,74,40,female
445,475427,1,53,female
446,520319,1,48,male
447,460904,23,54,male
448,705815,77,30,female
450,531127,25,47,male
451,790414,12,21,male
452,536022,55,47,female
453,690716,67,31,male
454,495615,38,51,female
455,200726,68,80,male
456,400228,25,60,male
457,500926,70,50,male
458,610724,68,39,male
459,675723,32,33,female
461,705813,68,30,female
462,701221,14,30,male
463,440405,38,56,male
464,595730,24,41,female
465,520901,5,48,male
466,476119,1,53,female
467,500417,1,50,male
468,590427,72,41,male
469,706013,59,30,female
470,545421,30,46,female
471,770111,44,23,male
472,811227,36,19,male
473,395925,1,61,female
474,490531,46,51,male
476,475601,1,53,female
477,540720,1,46,male
478,780621,21,22,male
479,470820,11,53,male
480,465124,11,54,female
481,270122,69,73,male
482,345122,69,66,female
483,440619,1,56,male
484,595913,28,41,female
485,780516,32,22,male
486,440412,68,56,male
487,225401,1,78,female
488,170802,1,83,male
489,401007,41,60,male
490,501023,55,50,male
491,660805,63,34,male
492,351026,72,65,male
493,425604,41,58,female
494,800519,1,20,male
495,375407,49,63,female
496,515521,70,49,female
497,530202,74,47,male
498,485115,74,52,female
499,355708,18,65,female
500,710106,1,29,male
501,371028,62,63,male
502,191208,6,81,male
503,590724,73,41,male
504,790801,36,21,male
505,771221,13,23,male
506,460816,75,54,male
507,541116,75,46,male
508,710428,53,29,male
509,800502,73,20,male
510,760415,12,24,male
511,590218,9,41,male
512,655803,60,35,female
513,745111,8,26,female
514,681115,8,32,male
515,320526,1,68,male
516,305427,1,70,female
517,650725,63,35,male
518,795428,54,21,female
519,800413,18,20,male
520,475927,46,53,female
521,751225,69,25,male
522,565304,1,44,female
523,221217,38,78,male
524,635102,30,37,female
525,690814,30,31,male
526,640201,43,36,male
527,665818,43,34,female
528,770211,37,23,male
529,781105,69,22,male
530,575927,29,43,female
531,761004,27,24,male
532,805903,27,20,female
533,415519,54,59,female
534,570722,74,43,male
535,370909,26,63,male
536,390825,47,61,male
537,350116,1,65,male
538,485510,5,52,female
540,210728,19,79,male
541,275309,19,73,female
542,215209,59,79,female
543,585415,11,42,female
544,481116,63,52,male
545,736011,75,27,female
546,530825,7,47,male
547,490331,54,51,male
548,371204,49,63,male
550,611130,7,39,male
551,765705,47,24,female
552,345508,1,66,female
553,410407,1,59,male
554,255419,30,75,female
555,261021,30,74,male
556,460708,29,54,male
557,390717,51,61,male
558,205705,43,80,female
559,725905,32,28,female
560,676216,71,33,female
561,626110,74,38,female
562,755922,49,25,female
563,615909,72,39,female
564,550124,72,45,male
565,595703,64,41,female
566,465305,47,54,female
567,500502,47,50,male
568,605719,8,40,female
569,620615,73,38,male
570,415131,61,59,female
571,240927,3,76,male
572,205804,3,80,female
573,670810,69,33,male
574,721225,1,28,male
575,700404,58,30,male
576,745512,58,26,female
577,636205,1,37,female
578,775707,23,23,female
579,335531,72,67,female
581,495204,70,51,female
582,500926,1,50,male
583,655101,75,35,female
584,765513,33,24,female
585,425221,40,58,female
586,471103,40,53,male
587,455708,25,55,female
588,606020,61,40,female
589,610917,45,39,male
590,490215,44,51,male
591,746029,65,26,female
592,650718,26,35,male
593,545710,60,46,female
596,481024,69,52,male
597,430222,55,57,male
598,701231,1,30,male
599,775518,1,23,female
601,660312,56,34,male
602,655116,56,35,female
603,665309,13,34,female
604,655731,1,35,female
605,705827,1,30,female
606,495125,10,51,female
607,640330,64,36,male
608,720831,67,28,male
609,620902,52,38,male
610,795810,74,21,female
611,521013,36,48,male
612,606110,36,40,female
613,775810,1,23,female
614,475203,14,53,female
615,495913,68,51,female
616,750101,58,25,male
617,740314,70,26,male
618,325316,57,68,female
619,200907,6,80,male
620,185213,6,82,female
621,390317,54,61,male
622,316123,74,69,female
623,250904,24,75,male
624,325726,24,68,female
625,786124,60,22,female
626,800413,9,20,male
627,720411,17,28,male
628,705527,17,30,female
629,760310,16,24,male
630,520303,61,48,male
631,565322,70,44,female
632,460316,67,54,male
633,385612,67,62,female
635,275629,17,73,female
636,350217,17,65,male
637,706215,39,30,female
638,615203,54,39,female
639,780802,31,22,male
640,790415,26,21,male
641,625704,40,38,female
642,631025,40,37,male
643,495613,1,51,female
644,615423,35,39,female
645,251221,14,75,male
646,225929,34,78,female
647,290406,34,71,male
648,355928,70,65,female
649,785502,13,22,female
651,765127,54,24,female
652,381208,61,62,male
653,306121,1,70,female
654,425517,64,58,female
655,421210,32,58,male
656,560606,1,44,male
657,265710,8,74,female
658,261221,8,74,male
659,651207,24,35,male
660,230322,16,77,male
661,195115,16,81,female
662,450807,5,55,male
663,230120,24,77,male
664,805319,77,20,female
665,325405,62,68,female
666,820523,26,18,male
667,815720,26,19,female
668,426225,1,58,female
669,566219,12,44,female
670,590121,1,41,male
671,715227,10,29,female
672,296109,46,71,female
673,391029,36,61,male
674,275111,11,73,female
675,751112,50,25,male
676,530207,70,47,male
677,630524,5,37,male
678,335528,39,67,female
679,400319,8,60,male
680,405509,8,60,female
681,770115,15,23,male
682,791021,18,21,male
683,455829,76,55,female
684,765410,3,24,female
685,306213,72,70,female
686,716003,32,29,female
687,750128,32,25,male
688,540504,1,46,male
689,640802,70,36,male
690,421107,38,58,male
691,445113,38,56,female
692,365111,74,64,female
693,350317,74,65,male
694,360228,29,64,male
695,550627,28,45,male
696,526201,28,48,female
698,540227,75,46,male
699,225422,26,78,female
700,291120,12,71,male
702,686107,31,32,female
703,590426,4,41,male
704,750501,54,25,male
705,381210,19,62,male
706,480805,1,52,male
707,411214,1,59,male
708,776127,50,23,female
709,341229,1,66,male
710,251128,23,75,male
711,635816,48,37,female
712,621204,54,38,male
713,805329,20,20,female
714,701008,31,30,male
715,525115,1,48,female
716,546204,1,46,female
717,680502,54,32,male
718,605228,54,40,female
719,740809,46,26,male
720,540906,29,46,male
721,400215,43,60,male
722,706125,62,30,female
723,575726,12,43,female
724,535202,65,47,female
725,561211,75,44,male
726,350213,16,65,male
727,305720,32,70,female
728,320120,32,68,male
729,695317,63,31,female
730,730814,63,27,male
731,795122,74,21,female
732,780705,74,22,male
733,780728,46,22,male
734,855114,46,15,female
735,731126,1,27,male
736,775426,1,23,female
737,521104,74,48,male
738,200326,25,80,male
739,420416,72,58,male
740,231107,55,77,male
741,410709,74,59,male
742,516015,1,49,female
743,410217,1,59,male
744,400718,26,60,male
745,665214,52,34,female
746,620416,52,38,male
747,535820,24,47,female
748,361015,25,64,male
749,335729,25,67,female
750,565929,70,44,female
751,590309,70,41,male
752,441220,72,56,male
753,405924,72,60,female
754,475604,63,53,female
755,471121,72,53,male
756,200513,31,80,male
757,706220,71,30,female
758,615726,68,39,female
759,550520,29,45,male
760,365825,57,64,female
762,370420,21,63,male
763,275824,75,73,female
764,556013,49,45,female
765,691231,65,31,male
766,265703,1,74,female
767,230616,1,77,male
768,315923,32,69,female
769,771215,40,23,male
772,441210,64,56,male
773,351030,4,65,male
774,730303,70,27,male
775,406130,51,60,female
776,535503,1,47,female
777,610520,1,39,male
778,400604,13,60,male
779,445612,69,56,female
780,240226,3,76,male
781,450920,72,55,male
782,635318,5,37,female
783,715325,27,29,female
784,641228,27,36,male
785,340909,63,66,male
786,780906,53,22,male
787,471208,3,53,male
788,740903,47,26,male
789,310921,4,69,male
790,675509,63,33,female
791,505929,68,50,female
793,780204,21,22,male
794,795716,21,21,female
796,190830,1,81,male
797,480127,8,52,male
798,405212,27,60,female
799,360219,27,64,male
803,510215,35,49,male
804,565123,35,44,female
806,800422,60,20,male
807,696021,53,31,female
808,631128,31,37,male
809,191015,49,81,male
810,455924,58,55,female
811,400528,58,60,male
812,401206,39,60,male
813,640129,70,36,male
814,591001,19,41,male
815,646027,22,36,female
816,585201,17,42,female
818,660427,54,34,male
819,580708,74,42,male
820,606106,74,40,female
821,480512,49,52,male
822,595508,37,41,female
823,561024,41,44,male
824,520905,27,48,male
825,770402,74,23,male
826,780123,1,22,male
827,655904,10,35,female
829,570519,24,43,male
830,480827,69,52,male
831,480502,2,52,male
832,236223,67,77,female
833,600611,5,40,male
834,221217,54,78,male
835,436020,28,57,female
836,480614,28,52,male
837,741014,71,26,male
838,685204,71,32,female
839,555518,47,45,female
840,370426,20,63,male
841,810210,69,19,male
842,335703,12,67,female
843,575903,54,43,female
844,450114,22,55,male
845,535130,22,47,female
846,491201,35,51,male
847,791225,49,21,male
849,395606,26,61,female
850,690921,19,31,male
851,190616,25,81,male
852,165604,25,84,female
853,490602,70,51,male
854,416102,72,59,female
855,300128,58,70,male
856,190122,23,81,male
857,480221,32,52,male
858,595329,47,41,female
859,685729,1,32,female
860,671208,1,33,male
861,565913,1,44,female
862,520105,30,48,male
863,686129,54,32,female
864,530327,11,47,male
865,466103,11,54,female
866,756124,38,25,female
870,570506,70,43,male
871,740311,76,26,male
872,630222,35,37,male
873,440105,60,56,male
874,525905,14,48,female
875,561207,14,44,male
876,601125,1,40,male
877,275121,5,73,female
878,200417,5,80,male
879,436208,38,57,female
880,600217,49,40,male
881,755222,5,25,female
882,335909,70,67,female
883,205106,75,80,female
884,181014,75,82,male
885,230208,34,77,male
886,480202,34,52,male
887,736128,66,27,female
888,731026,28,27,male
889,816024,54,19,female
890,190330,77,81,male
891,310131,33,69,male
892,225524,42,78,female
893,356023,43,65,female
894,340818,75,66,male
895,700703,39,30,male
896,735424,36,27,female
897,810325,36,19,male
898,435427,38,57,female
899,440213,38,56,male
900,770410,73,23,male
901,191221,39,81,male
902,500815,23,50,male
903,340306,31,66,male
904,320208,1,68,male
905,401023,38,60,male
906,780616,65,22,male
907,480311,51,52,male
908,615307,51,39,female
909,750907,23,25,male
910,610927,1,39,male
911,391128,43,61,male
912,201029,76,80,male
913,381118,1,62,male
914,215119,1,79,female
915,750503,12,25,male
916,580629,3,42,male
917,735916,25,27,female
918,641223,26,36,male
921,545213,7,46,female
922,725816,22,28,female
923,780822,22,22,male
924,530712,1,47,male
925,590813,54,41,male
926,810122,1,19,male
927,741026,1,26,male
928,516010,66,49,female
929,350423,30,65,male
930,595825,68,41,female
931,680607,16,32,male
932,470927,3,53,male
933,785311,33,22,female
934,820819,33,18,male
935,465517,42,54,female
936,430730,42,57,male
937,311114,1,69,male
938,445807,59,56,female
939,520803,21,48,male
940,600811,53,40,male
941,351005,10,65,male
942,315902,12,69,female
943,360926,12,64,male
944,701218,39,30,male
945,775110,39,23,female
946,510806,54,49,male
948,240422,49,76,male
949,760727,3,24,male
950,655412,76,35,female
951,600917,76,40,male
952,515501,63,49,female
953,371017,25,63,male
954,426020,1,58,female
955,700128,57,30,male
956,661021,1,34,male
957,416223,56,59,female
958,420504,56,58,male
959,625912,11,38,female
960,575413,16,43,female
961,316004,15,69,female
962,660219,19,34,male
963,666217,64,34,female
964,536021,10,47,female
965,726201,13,28,female
966,780902,13,22,male
967,790620,76,21,male
968,570217,69,43,male
970,570329,36,43,male
971,195101,46,81,female
972,170506,46,83,male
973,706006,14,30,female
974,630624,14,37,male
975,595712,1,41,female
976,556119,16,45,female
977,265510,76,74,female
978,685609,56,32,female
979,661118,56,34,male
980,610930,40,39,male
981,600628,5,40,male
984,490703,20,51,male
985,475113,20,53,female
986,550516,74,45,male
987,520520,60,48,male
988,396001,40,61,female
989,330815,40,67,male
990,611224,71,39,male
991,410627,32,59,male
992,480521,19,52,male
993,696031,44,31,female
994,710427,36,29,male
995,736030,36,27,female
996,805626,1,20,female
997,501111,59,50,male
998,535628,59,47,female
999,665901,74,34,female
1000,611027,74,39,male
1001,470414,44,53,male
1002,445308,42,56,female
1003,376031,31,63,female
1004,570925,3,43,male
1006,425628,46,58,female
1007,380105,46,62,male
1008,560706,6,44,male
1009,625427,33,38,female
1010,550816,33,45,male
1011,390713,16,61,male
1012,665213,70,34,female
1013,730312,70,27,male
1014,310208,1,69,male
1015,340313,62,66,male
1016,405721,62,60,female
1017,435212,6,57,female
1018,450228,53,55,male
1019,466222,14,54,female
1020,775510,72,23,female
1021,770805,2,23,male
1022,400723,31,60,male
1023,381228,1,62,male
1024,560329,25,44,male
1025,640708,15,36,male
1026,790812,57,21,male
1027,406104,1,60,female
1028,341002,1,66,male
1029,545316,1,46,female
1030,471011,1,53,male
1031,686211,2,32,female
1032,386030,1,62,female
1033,371014,1,63,male
1034,746111,52,26,female
1035,715328,13,29,female
1036,761206,13,24,male
1037,656101,1,35,female
1038,615923,69,39,female
1039,806011,70,20,female
1040,600617,1,40,male
1041,610705,72,39,male
1042,665925,17,34,female
1043,631116,17,37,male
1044,715913,9,29,female
1045,476224,60,53,female
1046,750824,1,25,male
1047,635711,16,37,female
1048,746003,70,26,female
1049,421111,1,58,male
1050,715701,27,29,female
1051,715826,73,29,female
1052,640311,56,36,male
1053,585603,56,42,female
1054,240820,63,76,male
1055,190517,4,81,male
1056,630619,1,37,male
1057,390221,52,61,male
1058,755801,9,25,female
1059,600603,26,40,male
1060,576217,26,43,female
1062,750108,16,25,male
1063,765612,16,24,female
1064,515203,1,49,female
1065,571126,2,43,male
1066,401018,1,60,male
1067,520514,1,48,male
1068,266020,13,74,female
1069,385221,54,62,female
1070,381202,54,62,male
1071,250125,43,75,male
1072,666208,60,34,female
1073,240410,34,76,male
1074,285825,34,72,female
1075,345604,65,66,female
1076,795511,53,21,female
1077,200623,46,80,male
1078,786215,24,22,female
1079,610715,3,39,male
1080,506006,54,50,female
1081,701216,71,30,male
1082,670223,9,33,male
1083,371215,48,63,male
1084,445409,48,56,female
1085,326219,60,68,female
1086,730504,74,27,male
1087,785730,74,22,female
1088,695823,47,31,female
1089,391209,1,61,male
1090,395620,35,61,female
1091,405627,59,60,female
1092,625720,41,38,female
1093,765728,62,24,female
1094,606004,30,40,female
1095,540216,30,46,male
1096,265303,1,74,female
1097,300902,1,70,male
1098,485910,60,52,female
1099,796121,65,21,female
1100,510704,59,49,male
1101,460622,74,54,male
1102,350129,72,65,male
1103,510818,1,49,male
1104,555209,1,45,female
1105,420103,56,58,male
1106,405225,56,60,female
1107,610426,60,39,male
1108,556222,62,45,female
1109,315901,58,69,female
1110,285324,10,72,female
1111,790604,61,21,male
1112,305725,13,70,female
1113,760820,11,24,male
1114,800618,59,20,male
1115,205824,36,80,female
1116,735419,69,27,female
1117,766101,20,24,female
1118,691103,20,31,male
1119,805105,54,20,female
1120,736021,41,27,female
1121,390302,59,61,male
1122,210218,20,79,male
1123,225826,20,78,female
1124,280412,21,72,male
1125,345330,9,66,female
1126,351023,9,65,male
1127,741112,23,26,male
1128,300716,7,70,male
1129,310924,43,69,male
1130,406126,70,60,female
1131,476028,55,53,female
1132,480321,55,52,male
1133,585915,37,42,female
1134,591001,37,41,male
1135,520721,8,48,male
1136,765918,9,24,female
1137,775305,1,23,female
1138,705930,70,30,female
1139,730922,70,27,male
1140,460224,18,54,male
1141,415422,21,59,female
1142,466119,59,54,female
1143,460515,59,54,male
1145,685914,58,32,female
1146,651114,54,35,male
1147,300512,3,70,male
1148,410515,41,59,male
1149,765925,14,24,female
1150,455624,74,55,female
1151,730306,59,27,male
1152,810312,74,19,male
1153,806115,70,20,female
1154,240131,72,76,male
1155,225710,72,78,female
1156,336111,1,67,female
1157,586230,4,42,female
1158,545821,1,46,female
1159,440203,64,56,male
1160,385728,64,62,female
1161,730525,7,27,male
1162,755219,26,25,female
1163,640828,20,36,male
1164,595914,15,41,female
1165,426002,15,58,female
1166,590627,74,41,male
1167,545317,74,46,female
1168,780531,19,22,male
1169,415124,18,59,female
1170,770428,12,23,male
1171,745328,46,26,female
1172,235613,54,77,female
1173,220602,54,78,male
1174,705313,29,30,female
1175,251025,1,75,male
1176,185831,1,82,female
1177,395621,77,61,female
1178,716004,1,29,female
1179,306005,1,70,female
1180,441006,21,56,male
1181,391112,1,61,male
1182,466016,66,54,female
1183,421129,54,58,male
1186,475805,2,53,female
1187,615906,32,39,female
1188,680919,32,32,male
1189,325215,74,68,female
1190,765412,15,24,female
1191,770602,15,23,male
1192,255101,10,75,female
1193,260129,19,74,male
1194,395614,17,61,female
1195,395122,39,61,female
1196,430416,22,57,male
1197,666002,6,34,female
1198,755217,72,25,female
1199,766024,64,24,female
1200,316117,47,69,female
1201,450910,54,55,male
1202,806011,47,20,female
1204,746109,77,26,female
1206,570621,50,43,male
1207,395917,28,61,female
1208,755901,70,25,female
1209,575409,36,43,female
1210,611012,6,39,male
1211,780714,1,22,male
1212,275919,13,73,female
1213,660428,1,34,male
1214,401115,61,60,male
1215,440506,45,56,male
1216,455612,65,55,female
1217,370417,59,63,male
1218,800527,74,20,male
1219,440731,1,56,male
1220,536216,40,47,female
1221,735518,14,27,female
1222,396130,7,61,female
1223,555813,14,45,female
1224,380512,56,62,male
1225,460821,42,54,male
1226,515414,33,49,female
1227,551002,33,45,male
1228,495828,21,51,female
1229,710202,19,29,male
1231,655927,20,35,female
1232,590413,20,41,male
1233,421022,68,58,male
1234,750115,23,25,male
1235,795712,23,21,female
1236,675428,26,33,female
1237,231107,57,77,male
1238,350901,74,65,male
1239,765909,11,24,female
1240,765824,32,24,female
1241,426217,73,58,female
1242,445821,73,56,female
1243,746005,11,26,female
1244,640502,1,36,male
1245,790813,64,21,male
1246,621119,70,38,male
1247,696009,70,31,female
1248,710624,19,29,male
1250,525801,43,48,female
1251,590530,1,41,male
1252,535819,1,47,female
1253,675828,14,33,female
1254,395831,3,61,female
1255,665807,1,34,female
1256,556113,46,45,female
1257,285901,35,72,female
1258,240920,35,76,male
1259,660929,18,34,male
1260,455103,57,55,female
1261,510928,57,49,male
1262,520403,35,48,male
1263,595225,35,41,female
1264,766003,61,24,female
1265,586221,57,42,female
1266,526124,71,48,female
1267,545211,29,46,female
1268,490330,29,51,male
1269,486231,1,52,female
1270,300516,13,70,male
1271,351129,47,65,male
1272,440415,8,56,male
1273,780615,6,22,male
1274,760125,44,24,male
1275,516010,1,49,female
1276,425426,68,58,female
1277,310407,70,69,male
1278,780912,72,22,male
1279,560711,16,44,male
1280,520508,34,48,male
1281,496228,34,51,female
1282,361127,52,64,male
1283,395209,66,61,female
1284,430804,66,57,male
1285,391126,62,61,male
1286,505313,52,50,female
1287,445809,65,56,female
1288,720520,73,28,male
1289,460918,59,54,male
1290,760129,35,24,male
1291,645418,1,36,female
1292,770428,14,23,male
1293,270129,1,73,male
1294,305529,1,70,female
1295,445209,74,56,female
1296,595801,55,41,female
1297,185128,64,82,female
1298,210315,64,79,male
1299,206016,2,80,female
1300,791027,45,21,male
1303,405816,42,60,female
1304,360728,37,64,male
1305,455428,55,55,female
1306,226008,32,78,female
1307,530408,74,47,male
1308,540218,69,46,male
